2308.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2002-11-19,39.5987,39.0811,39.0811,39.1675,-0.2587,0.279995672401,0.471548393177,39.49526,40.17248,39.37447,0.0864,0.5176,21.2322,2.5133,-1044.68554253,-1.67423848532,-0.551620768216,-0.697611731091,0.230017307719,0.405717385419,-0.67722
2002-11-20,39.1675,38.0459,38.9086,38.1322,-1.0353,0.247050962102,0.46773982463,39.11566,40.017195,39.2766966667,-0.7764,1.1216,20.671,4.3554,-1048.37070176,-3.6851592368,-0.961610486891,-0.90694916168,0.0949434281836,0.343562593972,-0.901535
2002-11-21,38.8224,37.9597,38.736,37.9597,-0.1725,0.295776257572,0.428575603199,38.89138,39.853285,39.1904266667,-0.7763,0.8627,20.5774,6.0153,-1054.38600176,-6.0153,-0.599944359438,-0.517166953116,-0.0274474281835,0.269360589541,-0.961905
2002-11-22,39.9438,38.391,38.391,39.5987,1.639,0.519473089951,0.492534602076,38.85686,39.818775,39.1458516667,1.2077,1.5528,21.466,10.6538,-1048.46768139,5.91832037609,0.0,0.0,-0.0266861626229,0.210151239108,-0.961915
2002-11-25,40.2889,39.5125,40.2889,40.0302,0.4315,0.463780532876,0.476923762818,38.97766,39.853285,39.1055933333,-0.2587,0.7764,21.6998,5.4166,-1046.66075274,1.80692864503,-0.451520023931,-0.399900645802,0.0206736455813,0.172255720403,-0.875625
2002-11-26,40.2027,38.9949,40.0302,39.2537,-0.7765,0.438352466695,0.403098267558,38.9949,39.827405,39.0782733333,-0.7765,1.2078,21.2789,3.5544,-1048.69192254,-2.03116979632,-0.903227012676,-0.799966881934,0.0145302059055,0.140710617503,-0.832505
2002-11-27,38.9949,38.1322,38.736,38.6498,-0.6039,0.463772741781,0.348833656818,39.09842,39.818775,39.0883383333,-0.0862,0.8627,20.9516,4.3399,-1047.82414376,0.867778775936,-0.838686759152,-0.742805100182,-0.0558278189789,0.101402930207,-0.720355
2002-11-28,39.2537,38.5635,39.1675,38.6498,0.0,0.393444180523,0.354325821673,39.23644,39.779955,39.0710833333,-0.5177,0.6902,20.9516,4.6423,-1051.30553246,-3.48138869893,-0.612870657742,-0.542805100182,-0.0965527351251,0.0618117971404,-0.543515
2002-11-29,39.34,38.6498,38.736,39.0811,0.4313,0.46773982463,0.431033965884,39.13292,39.745445,39.055265,0.3451,0.6902,21.1854,3.0299,-1050.54871595,0.756816516952,-0.451594809857,-0.399966881934,-0.106714390395,0.0281065596334,-0.612525
2002-12-03,40.8929,39.4262,39.5987,40.3752,1.2941,0.594586550963,0.550845792648,39.20192,39.736815,39.05814,0.7765,1.4667,21.8869,14.5782,-1046.26182861,4.28688733892,-0.142786172635,-0.114224209306,-0.01538988224,0.0194072712587,-0.534895
2002-12-04,40.3752,39.6851,40.2889,39.6851,-0.6901,0.628574740433,0.460183617993,39.2882,39.650545,39.0193183333,-0.6038,0.6901,21.5128,2.8619,-1049.12372861,-2.8619,-0.964231008073,-0.771352872992,0.023649431924,0.0202557033918,-0.362345
2002-12-05,40.1164,39.2537,39.8576,39.6851,0.0,0.64705782081,0.481480686465,39.49526,39.53408,38.961805,-0.1725,0.8627,21.5128,4.7375,-1049.12317946,0.000549148023605,-0.624987926205,-0.542805100182,0.0402016076147,0.0242448842364,-0.03882
2002-12-06,39.5987,38.9086,39.5987,39.1675,-0.5176,0.454562697576,0.504861689437,39.5988,39.40036,38.908605,-0.4312,0.6901,21.2322,2.5666,-1049.76399264,-0.640813186495,-0.874963778615,-0.714224209306,0.0148598466017,0.0223678767094,0.19844
